id;area_code;freeze_frame_number;memo;status;equipment_code;equipment_id;created_by;last_modified_by
1;S112;10;;0001;R4-01;8;system;system
2;S01;10;;0001;F1-09;1;system;system
3;S02;10;;0001;F1-09;1;system;system
4;S02;10;;0001;F3-74;5;system;system
5;S01;10;;0001;F3-76;6;system;system
6;S03;10;;0001;F3-76;6;system;system
7;S04;10;;0001;F3-76;6;system;system
8;S031;10;;0001;R4-01;7;system;system
9;S032;10;;0001;R4-01;7;system;system
10;S033;10;;0001;R4-01;7;system;system
11;S034;10;;0001;R4-01;7;system;system
12;S035;10;;0001;R4-01;7;system;system
13;S036;10;;0001;R4-01;7;system;system
14;S037;10;;0001;R4-01;7;system;system
15;S038;10;;0001;R4-01;7;system;system
16;S039;10;;0001;R4-01;7;system;system
17;S040;10;;0001;R4-01;7;system;system
18;S041;10;;0001;R4-01;7;system;system
19;S042;10;;0001;R4-01;7;system;system
20;S043;10;;0001;R4-01;7;system;system
21;S044;10;;0001;R4-01;7;system;system
22;S045;10;;0001;R4-01;7;system;system
23;S021;10;;0001;R4-02;8;system;system
24;S022;10;;0001;R4-02;8;system;system
25;S023;10;;0001;R4-02;8;system;system
26;S05;10;;0001;T1-07;9;system;system
27;S06;10;;0001;T1-07;9;system;system
28;S07;10;;0001;T1-07;9;system;system
29;S08;10;;0001;T1-07;9;system;system
30;S07;10;;0001;T1-18;10;system;system
31;S03;10;;0001;T1-19;11;system;system
32;S04;10;;0001;T1-19;11;system;system
33;S05;10;;0001;T1-19;11;system;system
34;S06;10;;0001;T1-19;11;system;system
35;S07;10;;0001;T1-19;11;system;system
36;S01;10;;0001;T1-21;12;system;system
37;S02;10;;0001;T1-21;12;system;system
38;S03;10;;0001;T1-21;12;system;system
39;S04;10;;0001;T1-21;12;system;system
40;S05;10;;0001;T1-21;12;system;system
41;S06;10;;0001;T1-21;12;system;system
42;S07;10;;0001;T1-21;12;system;system
43;S08;10;;0001;T1-21;12;system;system
44;S09;10;;0001;T1-21;12;system;system
45;S03;10;;0001;T1-23;13;system;system
46;S04;10;;0001;T1-23;13;system;system
47;S05;10;;0001;T1-23;13;system;system
48;S06;10;;0001;T1-23;13;system;system
49;S07;10;;0001;T1-23;13;system;system
50;S07;10;;0001;T1-24;14;system;system
