project_code;columns_number;project_id;sample_type_id;sample_classification_id;memo;status;created_by;last_modified_by
0029;;8;1;1;;0001;system;system
0029;;8;1;2;;0001;system;system
0029;;8;2;3;;0001;system;system
0029;;8;2;4;;0001;system;system
0029;;8;1;5;;0001;system;system
0029;;8;1;6;;0001;system;system
0029;;8;3;7;;0001;system;system
0029;;8;3;8;;0001;system;system
0029;;8;4;9;;0001;system;system
0029;;8;4;10;;0001;system;system
0029;1;8;5;1;;0001;system;system
0029;2;8;5;2;;0001;system;system
0029;3;8;5;3;;0001;system;system
0029;4;8;5;4;;0001;system;system
0029;5;8;5;5;;0001;system;system
0029;6;8;5;6;;0001;system;system
0029;7;8;5;7;;0001;system;system
0029;8;8;5;8;;0001;system;system
0029;9;8;5;9;;0001;system;system
0029;10;8;5;10;;0001;system;system

0037;1;9;5;1;;0001;system;system
0037;2;9;5;2;;0001;system;system
0037;3;9;5;3;;0001;system;system
0037;4;9;5;4;;0001;system;system
0037;5;9;5;5;;0001;system;system
0037;6;9;5;6;;0001;system;system
0037;7;9;5;7;;0001;system;system
0037;8;9;5;8;;0001;system;system
0037;9;9;5;9;;0001;system;system
0037;10;9;5;10;;0001;system;system
